link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
2924091,2924123,39.564472,-90.90018,2.478664,0.6241298,0.06,0.12,4.1311064,12.393319,3273.0,,59
2924101,2924123,39.552612,-90.90423,1.6205318,0.7528327,0.06,0.12,2.7008862,8.102659,2433.0,,59
2924119,2924121,39.54619,-90.87597,1.4807861,0.7833886,0.06,0.12,2.4679768,7.4039307,1793.0,,59
2924167,2924163,39.530315,-90.93729,1.8395842,0.7118793,0.06,0.12,3.0659738,9.197921,2799.0,,59
2924235,2924255,39.508858,-90.84194,1.6666918,0.74356186,0.06,0.12,2.7778196,8.333459,1804.0,,59
2924353,2924215,39.50851,-90.75102,1.3274031,0.8221073,0.06,0.12,2.2123384,6.6370153,1739.0,,59
2928973,2928945,39.451637,-90.72791,1.6846154,0.7400612,0.06,0.12,2.8076923,8.423077,1436.0,,59
2929025,2928945,39.44476,-90.7159,2.313817,0.6433704,0.06,0.12,3.8563616,11.569085,3715.0,,59
4869857,4869781,39.489258,-91.09903,1.1926438,0.86186594,0.06,0.12,1.9877397,5.9632187,197.0,,59
2924161,2924163,39.540207,-90.94374,2.8960788,0.5827128,0.06,0.12,4.826798,14.480393,2254.0,,59
2924183,2927073,39.529934,-90.99382,2.4526072,0.6270465,0.06,0.12,4.0876784,12.263036,1550.0,,59
