link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
2510967,2510973,38.9989,-90.91113,3.9923625,0.5057617,0.06,0.12,6.6539373,19.961813,328.0,,58
2929733,2930623,39.185898,-90.7063,2.5032508,0.6214178,0.06,0.12,4.172085,12.516254,1197.0,,58
937110049,937110050,39.14262,-90.68914,3.4587271,0.538812,0.06,0.12,5.7645454,17.293636,200.0,,58
2512377,2512403,38.866695,-91.0291,5.0742245,0.45499012,0.055,0.11,8.457041,30.0,554.0,,58
2929903,2929873,39.144444,-90.819664,3.808816,0.51637304,0.055,0.11,6.3480268,30.0,642.0,,58
2512235,2512251,38.91733,-91.02201,5.937067,0.42453423,0.055,0.11,9.895111,30.0,2125.0,,58
2512267,2512261,38.905106,-91.01661,8.192188,0.3683188,0.055,0.11,13.653647,40.96094,975.0,,58
2515905,2510971,39.000065,-90.929276,6.085469,0.4199353,0.055,0.11,10.142447,30.427343,9.0,,58
3600150,3600142,39.358143,-90.48955,15.244371,0.28004923,0.05,0.1,25.407286,76.221855,809.0,,58
5915279,5915287,39.225376,-90.40878,20.208565,0.24729931,0.05,0.1,33.680943,101.04282,995.0,,58
2507319,2507383,39.005226,-90.946754,20.70212,0.24468069,0.05,0.1,34.503532,103.5106,106.0,,58
3601242,3601032,39.423527,-90.61681,65.008,0.14769171,0.045,0.09,108.34667,325.04,1981.0,,58
2930621,2930625,39.19846,-90.71774,113.9397,0.11530226,0.045,0.09,189.8995,569.6985,2080.0,,58
